Combination,Role_Score,Type_Score,Weakness_Score,Threat_Coverage_Score,Total_Stats_Score,Total_Score,Combination_Names
"150, 145, 131, 113, 59, 89",8.75,10,5.5,5.12,8.66,6.087372,"mewtwo, zapdos, lapras, chansey, arcanine, muk"
"151, 6, 73, 121, 143, 89",8.75,7.61,5.27,5.94,8.51,6.086458,"mew, charizard, tentacruel, starmie, snorlax, muk"
"150, 151, 144, 103, 143, 89",8.75,7.88,5.84,4.85,8.79,6.086405,"mewtwo, mew, articuno, exeggutor, snorlax, muk"
"150, 151, 145, 103, 143, 89",8.75,7.88,5.84,4.85,8.79,6.086405,"mewtwo, mew, zapdos, exeggutor, snorlax, muk"
"151, 131, 6, 121, 143, 89",8.75,8.72,5.45,5.44,8.55,6.086077,"mew, lapras, charizard, starmie, snorlax, muk"
"150, 145, 121, 143, 89, 91",8.75,8.72,5.7,5.03,8.54,6.086075,"mewtwo, zapdos, starmie, snorlax, muk, cloyster"
"150, 145, 113, 59, 89, 91",8.75,10,5.5,5.12,8.64,6.08602,"mewtwo, zapdos, chansey, arcanine, muk, cloyster"
"151, 144, 9, 121, 143, 89",8.75,7.88,5.89,4.85,8.55,6.08595,"mew, articuno, blastoise, starmie, snorlax, muk"
"151, 145, 9, 121, 143, 89",8.75,7.88,5.89,4.85,8.55,6.08595,"mew, zapdos, blastoise, starmie, snorlax, muk"
"151, 134, 121, 143, 149, 89",8.75,7.88,5.84,4.94,8.51,6.084866,"mew, vaporeon, starmie, snorlax, dragonite, muk"
"151, 6, 121, 143, 89, 91",8.75,8.72,5.45,5.44,8.54,6.084725,"mew, charizard, starmie, snorlax, muk, cloyster"
"150, 151, 6, 103, 59, 89",8.75,6,5.04,6.53,8.68,6.084018,"mewtwo, mew, charizard, exeggutor, arcanine, muk"
"150, 151, 6, 103, 9, 89",8.75,7.88,5.53,5.44,8.56,6.082997,"mewtwo, mew, charizard, exeggutor, blastoise, muk"
"150, 151, 144, 3, 89, 76",8.75,8.72,5.05,6.03,8.76,6.082806,"mewtwo, mew, articuno, venusaur, muk, golem"
"150, 151, 145, 3, 89, 76",8.75,8.72,5.05,6.03,8.76,6.082806,"mewtwo, mew, zapdos, venusaur, muk, golem"
"150, 151, 146, 134, 143, 89",8.75,8.36,5.78,4.85,8.79,6.08242,"mewtwo, mew, moltres, vaporeon, snorlax, muk"
"150, 151, 146, 9, 143, 89",8.75,8.36,5.78,4.85,8.79,6.08242,"mewtwo, mew, moltres, blastoise, snorlax, muk"
"150, 151, 113, 121, 143, 89",8.75,4.79,6.44,4.44,8.51,6.081822,"mewtwo, mew, chansey, starmie, snorlax, muk"
"151, 144, 134, 121, 143, 89",8.75,7.88,5.89,4.85,8.51,6.081669,"mew, articuno, vaporeon, starmie, snorlax, muk"
"151, 145, 134, 121, 143, 89",8.75,7.88,5.89,4.85,8.51,6.081669,"mew, zapdos, vaporeon, starmie, snorlax, muk"
"151, 146, 131, 113, 121, 89",8.75,8.72,5.45,5.44,8.5,6.080669,"mew, moltres, lapras, chansey, starmie, muk"
"151, 131, 6, 113, 121, 89",8.75,8.72,5.45,5.44,8.5,6.080669,"mew, lapras, charizard, chansey, starmie, muk"
"150, 151, 113, 103, 89, 68",8.75,6.93,6.14,4.62,8.4,6.080664,"mewtwo, mew, chansey, exeggutor, muk, machamp"
"150, 151, 6, 143, 89, 34",8.75,7.25,5.28,5.94,8.57,6.079396,"mewtwo, mew, charizard, snorlax, muk, nidoking"
"151, 146, 113, 121, 89, 91",8.75,8.72,5.45,5.44,8.48,6.079317,"mew, moltres, chansey, starmie, muk, cloyster"
"151, 6, 113, 121, 89, 91",8.75,8.72,5.45,5.44,8.48,6.079317,"mew, charizard, chansey, starmie, muk, cloyster"
"151, 146, 113, 121, 89, 80",8.75,7.06,5.64,5.44,8.33,6.077465,"mew, moltres, chansey, starmie, muk, slowbro"
"151, 6, 113, 121, 89, 80",8.75,7.06,5.64,5.44,8.33,6.077465,"mew, charizard, chansey, starmie, muk, slowbro"
"151, 6, 121, 143, 59, 89",8.75,7.88,5.21,5.94,8.57,6.076143,"mew, charizard, starmie, snorlax, arcanine, muk"
"150, 151, 6, 143, 89, 112",8.75,9.12,5.38,5.44,8.57,6.07366,"mewtwo, mew, charizard, snorlax, muk, rhydon"
"150, 151, 6, 143, 89, 76",8.75,9.12,5.38,5.44,8.57,6.07366,"mewtwo, mew, charizard, snorlax, muk, golem"
"150, 151, 3, 149, 89, 80",8.75,7.61,5.42,5.53,8.85,6.070694,"mewtwo, mew, venusaur, dragonite, muk, slowbro"
"150, 146, 113, 121, 143, 89",8.75,7.88,5.76,5.03,8.51,6.068752,"mewtwo, moltres, chansey, starmie, snorlax, muk"
"151, 121, 62, 149, 89, 80",8.75,6.5,5.61,5.53,8.39,6.067462,"mew, starmie, poliwrath, dragonite, muk, slowbro"
"150, 144, 121, 143, 89, 76",8.75,10,5.54,5.03,8.51,6.06536,"mewtwo, articuno, starmie, snorlax, muk, golem"
"150, 145, 121, 143, 89, 76",8.75,10,5.54,5.03,8.51,6.06536,"mewtwo, zapdos, starmie, snorlax, muk, golem"
"150, 151, 103, 9, 149, 89",8.75,7.88,5.73,4.94,8.88,6.064854,"mewtwo, mew, exeggutor, blastoise, dragonite, muk"
"151, 144, 121, 62, 89, 80",8.75,6.5,5.66,5.44,8.39,6.064849,"mew, articuno, starmie, poliwrath, muk, slowbro"
"151, 145, 121, 62, 89, 80",8.75,6.5,5.66,5.44,8.39,6.064849,"mew, zapdos, starmie, poliwrath, muk, slowbro"
"150, 151, 143, 149, 89, 34",8.75,7.25,5.49,5.44,8.89,6.063831,"mewtwo, mew, snorlax, dragonite, muk, nidoking"
"150, 151, 146, 103, 62, 89",8.75,8.72,5.36,5.44,8.77,6.063764,"mewtwo, mew, moltres, exeggutor, poliwrath, muk"
"151, 131, 121, 149, 89, 80",8.75,6.5,5.59,5.53,8.5,6.06368,"mew, lapras, starmie, dragonite, muk, slowbro"
"151, 144, 131, 113, 121, 89",8.75,7.61,5.52,5.44,8.5,6.062522,"mew, articuno, lapras, chansey, starmie, muk"
"151, 6, 121, 143, 89, 112",8.75,10,5.28,5.44,8.51,6.061851,"mew, charizard, starmie, snorlax, muk, rhydon"
"151, 6, 121, 143, 89, 76",8.75,10,5.28,5.44,8.51,6.061851,"mew, charizard, starmie, snorlax, muk, golem"
"150, 151, 144, 131, 103, 89",8.75,7.61,5.47,5.44,8.78,6.06159,"mewtwo, mew, articuno, lapras, exeggutor, muk"
"150, 151, 6, 9, 89, 80",8.75,6,5.67,5.44,8.56,6.061505,"mewtwo, mew, charizard, blastoise, muk, slowbro"
"151, 103, 121, 59, 149, 89",8.75,8.72,5.38,5.44,8.65,6.061182,"mew, exeggutor, starmie, arcanine, dragonite, muk"
"151, 144, 113, 121, 89, 91",8.75,7.61,5.52,5.44,8.48,6.06117,"mew, articuno, chansey, starmie, muk, cloyster"
"151, 145, 131, 121, 89, 80",8.75,6.5,5.63,5.44,8.5,6.06114,"mew, zapdos, lapras, starmie, muk, slowbro"
"151, 103, 121, 143, 149, 89",8.75,8.72,5.7,4.94,8.54,6.059668,"mew, exeggutor, starmie, snorlax, dragonite, muk"
"151, 144, 103, 121, 59, 89",8.75,8.72,5.43,5.35,8.65,6.059154,"mew, articuno, exeggutor, starmie, arcanine, muk"
"151, 145, 103, 121, 59, 89",8.75,8.72,5.43,5.35,8.65,6.059154,"mew, zapdos, exeggutor, starmie, arcanine, muk"
"150, 151, 144, 3, 89, 80",8.75,7.61,5.47,5.44,8.76,6.059111,"mewtwo, mew, articuno, venusaur, muk, slowbro"
"150, 151, 145, 3, 89, 80",8.75,7.61,5.47,5.44,8.76,6.059111,"mewtwo, mew, zapdos, venusaur, muk, slowbro"
"150, 151, 121, 143, 59, 89",8.75,6.93,6.15,4.44,8.67,6.059042,"mewtwo, mew, starmie, snorlax, arcanine, muk"
"150, 151, 146, 143, 89, 80",8.75,7.88,5.78,4.85,8.79,6.058313,"mewtwo, mew, moltres, snorlax, muk, slowbro"
"150, 151, 143, 149, 89, 112",8.75,9.12,5.58,4.94,8.89,6.057048,"mewtwo, mew, snorlax, dragonite, muk, rhydon"
"150, 151, 143, 149, 89, 76",8.75,9.12,5.58,4.94,8.89,6.057048,"mewtwo, mew, snorlax, dragonite, muk, golem"
"151, 144, 103, 121, 143, 89",8.75,8.72,5.75,4.85,8.54,6.056838,"mew, articuno, exeggutor, starmie, snorlax, muk"
"151, 145, 103, 121, 143, 89",8.75,8.72,5.75,4.85,8.54,6.056838,"mew, zapdos, exeggutor, starmie, snorlax, muk"
"150, 151, 59, 149, 89, 112",8.75,9.12,5.26,5.44,8.99,6.056638,"mewtwo, mew, arcanine, dragonite, muk, rhydon"
"150, 151, 59, 149, 89, 76",8.75,9.12,5.26,5.44,8.99,6.056638,"mewtwo, mew, arcanine, dragonite, muk, golem"
"151, 131, 121, 62, 149, 89",8.75,8,5.42,5.53,8.5,6.056408,"mew, lapras, starmie, poliwrath, dragonite, muk"
"150, 151, 6, 113, 89, 112",8.75,9.12,5.38,5.44,8.4,6.05631,"mewtwo, mew, charizard, chansey, muk, rhydon"
"150, 144, 131, 6, 113, 89",8.75,8.72,4.68,6.62,8.56,6.055616,"mewtwo, articuno, lapras, charizard, chansey, muk"
"151, 103, 121, 62, 149, 89",8.75,8,5.42,5.53,8.49,6.055506,"mew, exeggutor, starmie, poliwrath, dragonite, muk"
"151, 121, 62, 149, 89, 91",8.75,8,5.42,5.53,8.48,6.055056,"mew, starmie, poliwrath, dragonite, muk, cloyster"
"150, 151, 146, 73, 143, 89",8.75,7.88,5.48,5.35,8.79,6.054296,"mewtwo, mew, moltres, tentacruel, snorlax, muk"
"151, 145, 131, 121, 62, 89",8.75,8,5.47,5.44,8.5,6.054281,"mew, zapdos, lapras, starmie, poliwrath, muk"
"150, 144, 6, 113, 89, 91",8.75,8.72,4.68,6.62,8.55,6.054264,"mewtwo, articuno, charizard, chansey, muk, cloyster"
"151, 144, 103, 121, 62, 89",8.75,8,5.47,5.44,8.49,6.053379,"mew, articuno, exeggutor, starmie, poliwrath, muk"
"151, 145, 103, 121, 62, 89",8.75,8,5.47,5.44,8.49,6.053379,"mew, zapdos, exeggutor, starmie, poliwrath, muk"
"150, 151, 6, 143, 59, 89",8.75,6.21,5.31,5.94,8.68,6.053298,"mewtwo, mew, charizard, snorlax, arcanine, muk"
"151, 145, 121, 62, 89, 91",8.75,8,5.47,5.44,8.48,6.052929,"mew, zapdos, starmie, poliwrath, muk, cloyster"
"150, 151, 144, 103, 9, 89",8.75,7.88,5.77,4.85,8.78,6.052488,"mewtwo, mew, articuno, exeggutor, blastoise, muk"
"150, 151, 145, 103, 9, 89",8.75,7.88,5.77,4.85,8.78,6.052488,"mewtwo, mew, zapdos, exeggutor, blastoise, muk"
"150, 151, 144, 143, 89, 34",8.75,7.25,5.53,5.35,8.79,6.052078,"mewtwo, mew, articuno, snorlax, muk, nidoking"
"150, 151, 145, 143, 89, 34",8.75,7.25,5.53,5.35,8.79,6.052078,"mewtwo, mew, zapdos, snorlax, muk, nidoking"
"150, 151, 131, 134, 121, 89",8.75,4.12,6.1,5.03,8.5,6.051479,"mewtwo, mew, lapras, vaporeon, starmie, muk"
"151, 131, 73, 121, 149, 89",8.75,7,5.21,6.03,8.5,6.051428,"mew, lapras, tentacruel, starmie, dragonite, muk"
"151, 121, 143, 149, 89, 34",8.75,8.72,5.39,5.44,8.51,6.05086,"mew, starmie, snorlax, dragonite, muk, nidoking"
"150, 151, 146, 131, 134, 89",8.75,7.25,5.48,5.44,8.78,6.050026,"mewtwo, mew, moltres, lapras, vaporeon, muk"
"150, 151, 146, 131, 103, 89",8.75,8.72,5.33,5.44,8.78,6.049912,"mewtwo, mew, moltres, lapras, exeggutor, muk"
"151, 145, 131, 73, 121, 89",8.75,7,5.26,5.94,8.5,6.049818,"mew, zapdos, lapras, tentacruel, starmie, muk"
"150, 151, 146, 143, 89, 68",8.75,8.36,5.72,4.85,8.79,6.049425,"mewtwo, mew, moltres, snorlax, muk, machamp"
"150, 144, 113, 143, 89, 68",8.75,8.36,5.93,4.62,8.42,6.049175,"mewtwo, articuno, chansey, snorlax, muk, machamp"
"150, 145, 113, 143, 89, 68",8.75,8.36,5.93,4.62,8.42,6.049175,"mewtwo, zapdos, chansey, snorlax, muk, machamp"
"151, 144, 121, 143, 89, 34",8.75,8.72,5.44,5.35,8.51,6.048814,"mew, articuno, starmie, snorlax, muk, nidoking"
"151, 145, 121, 143, 89, 34",8.75,8.72,5.44,5.35,8.51,6.048814,"mew, zapdos, starmie, snorlax, muk, nidoking"
"150, 144, 113, 121, 89, 112",8.75,10,5.54,5.03,8.33,6.04801,"mewtwo, articuno, chansey, starmie, muk, rhydon"
"150, 145, 113, 121, 89, 112",8.75,10,5.54,5.03,8.33,6.04801,"mewtwo, zapdos, chansey, starmie, muk, rhydon"
"151, 121, 59, 149, 89, 80",8.75,7.06,5.53,5.44,8.61,6.047827,"mew, starmie, arcanine, dragonite, muk, slowbro"
"151, 121, 143, 62, 149, 89",8.75,8.72,5.68,4.94,8.51,6.047186,"mew, starmie, snorlax, poliwrath, dragonite, muk"
"150, 151, 144, 59, 89, 112",8.75,9.12,5.31,5.35,8.9,6.045438,"mewtwo, mew, articuno, arcanine, muk, rhydon"
"150, 151, 145, 59, 89, 112",8.75,9.12,5.31,5.35,8.9,6.045438,"mewtwo, mew, zapdos, arcanine, muk, rhydon"
"151, 144, 121, 59, 89, 80",8.75,7.06,5.58,5.35,8.61,6.045433,"mew, articuno, starmie, arcanine, muk, slowbro"
"151, 145, 121, 59, 89, 80",8.75,7.06,5.58,5.35,8.61,6.045433,"mew, zapdos, starmie, arcanine, muk, slowbro"
"151, 131, 103, 121, 149, 89",8.75,8,5.39,5.53,8.53,6.045123,"mew, lapras, exeggutor, starmie, dragonite, muk"
"150, 151, 144, 143, 89, 112",8.75,9.12,5.63,4.85,8.79,6.045046,"mewtwo, mew, articuno, snorlax, muk, rhydon"
"150, 151, 144, 143, 89, 76",8.75,9.12,5.63,4.85,8.79,6.045046,"mewtwo, mew, articuno, snorlax, muk, golem"
"150, 151, 145, 143, 89, 112",8.75,9.12,5.63,4.85,8.79,6.045046,"mewtwo, mew, zapdos, snorlax, muk, rhydon"
"150, 151, 145, 143, 89, 76",8.75,9.12,5.63,4.85,8.79,6.045046,"mewtwo, mew, zapdos, snorlax, muk, golem"
"151, 146, 113, 121, 89, 76",8.75,10,5.28,5.44,8.33,6.044501,"mew, moltres, chansey, starmie, muk, golem"
"151, 6, 113, 121, 89, 112",8.75,10,5.28,5.44,8.33,6.044501,"mew, charizard, chansey, starmie, muk, rhydon"
"151, 6, 113, 121, 89, 76",8.75,10,5.28,5.44,8.33,6.044501,"mew, charizard, chansey, starmie, muk, golem"
"151, 144, 121, 143, 62, 89",8.75,8.72,5.73,4.85,8.51,6.044403,"mew, articuno, starmie, snorlax, poliwrath, muk"
"151, 145, 121, 143, 62, 89",8.75,8.72,5.73,4.85,8.51,6.044403,"mew, zapdos, starmie, snorlax, poliwrath, muk"
"150, 144, 145, 103, 143, 89",8.75,8.72,4.97,6.03,8.79,6.044354,"mewtwo, articuno, zapdos, exeggutor, snorlax, muk"
"150, 151, 146, 62, 89, 80",8.75,7.06,5.51,5.44,8.68,6.044247,"mewtwo, mew, moltres, poliwrath, muk, slowbro"
"151, 121, 143, 149, 89, 80",8.75,7.06,5.84,4.94,8.51,6.043894,"mew, starmie, snorlax, dragonite, muk, slowbro"
"151, 146, 121, 143, 89, 68",8.75,9.75,5.62,4.85,8.51,6.043129,"mew, moltres, starmie, snorlax, muk, machamp"
"151, 145, 131, 103, 121, 89",8.75,8,5.44,5.44,8.53,6.043069,"mew, zapdos, lapras, exeggutor, starmie, muk"
"150, 151, 9, 149, 89, 80",8.75,6,5.87,4.94,8.88,6.041823,"mewtwo, mew, blastoise, dragonite, muk, slowbro"
"150, 151, 6, 103, 62, 89",8.75,8.72,5.36,5.44,8.55,6.041682,"mewtwo, mew, charizard, exeggutor, poliwrath, muk"
"151, 144, 121, 143, 89, 80",8.75,7.06,5.89,4.85,8.51,6.040697,"mew, articuno, starmie, snorlax, muk, slowbro"
"151, 145, 121, 143, 89, 80",8.75,7.06,5.89,4.85,8.51,6.040697,"mew, zapdos, starmie, snorlax, muk, slowbro"
"150, 151, 113, 103, 121, 149",8.75,7.06,5.89,4.73,8.87,6.040497,"mewtwo, mew, chansey, exeggutor, starmie, dragonite"
"150, 144, 9, 89, 68, 76",8.75,10,5.4,5.21,8.41,6.04039,"mewtwo, articuno, blastoise, muk, machamp, golem"
"150, 145, 9, 89, 68, 76",8.75,10,5.4,5.21,8.41,6.04039,"mewtwo, zapdos, blastoise, muk, machamp, golem"
"150, 151, 146, 131, 89, 80",8.75,7.06,5.48,5.44,8.78,6.040304,"mewtwo, mew, moltres, lapras, muk, slowbro"
"150, 151, 146, 143, 62, 89",8.75,9.12,5.62,4.85,8.79,6.04027,"mewtwo, mew, moltres, snorlax, poliwrath, muk"
"150, 144, 134, 103, 59, 89",8.75,9.75,5.43,5.12,8.65,6.039955,"mewtwo, articuno, vaporeon, exeggutor, arcanine, muk"
"150, 145, 134, 103, 59, 89",8.75,9.75,5.43,5.12,8.65,6.039955,"mewtwo, zapdos, vaporeon, exeggutor, arcanine, muk"
"150, 151, 113, 149, 89, 112",8.75,9.12,5.58,4.94,8.71,6.039698,"mewtwo, mew, chansey, dragonite, muk, rhydon"
"151, 73, 121, 143, 149, 89",8.75,7.61,5.48,5.44,8.51,6.039444,"mew, tentacruel, starmie, snorlax, dragonite, muk"
"150, 151, 6, 9, 89, 112",8.75,9.12,5.31,5.44,8.56,6.038109,"mewtwo, mew, charizard, blastoise, muk, rhydon"
"150, 151, 6, 9, 89, 76",8.75,9.12,5.31,5.44,8.56,6.038109,"mewtwo, mew, charizard, blastoise, muk, golem"
"151, 131, 121, 59, 149, 89",8.75,8.72,5.33,5.44,8.66,6.037922,"mew, lapras, starmie, arcanine, dragonite, muk"
"151, 131, 121, 143, 149, 89",8.75,8.72,5.65,4.94,8.55,6.037197,"mew, lapras, starmie, snorlax, dragonite, muk"
"151, 144, 73, 121, 143, 89",8.75,7.61,5.52,5.35,8.51,6.037178,"mew, articuno, tentacruel, starmie, snorlax, muk"
"151, 145, 73, 121, 143, 89",8.75,7.61,5.52,5.35,8.51,6.037178,"mew, zapdos, tentacruel, starmie, snorlax, muk"
"150, 151, 131, 121, 62, 89",8.75,5.39,5.94,5.03,8.5,6.036947,"mewtwo, mew, lapras, starmie, poliwrath, muk"
"150, 144, 103, 59, 149, 89",8.75,8.72,4.58,6.62,8.9,6.036811,"mewtwo, articuno, exeggutor, arcanine, dragonite, muk"
"150, 145, 103, 59, 149, 89",8.75,8.72,4.58,6.62,8.9,6.036811,"mewtwo, zapdos, exeggutor, arcanine, dragonite, muk"
"151, 121, 59, 149, 89, 91",8.75,8.72,5.33,5.44,8.64,6.03657,"mew, starmie, arcanine, dragonite, muk, cloyster"
"150, 144, 113, 103, 9, 89",8.75,9.75,5.75,4.62,8.53,6.036512,"mewtwo, articuno, chansey, exeggutor, blastoise, muk"
"150, 145, 113, 103, 9, 89",8.75,9.75,5.75,4.62,8.53,6.036512,"mewtwo, zapdos, chansey, exeggutor, blastoise, muk"
"150, 151, 113, 89, 68, 76",8.75,8.36,5.94,4.62,8.25,6.036442,"mewtwo, mew, chansey, muk, machamp, golem"
"150, 151, 103, 121, 62, 89",8.75,5.39,5.94,5.03,8.49,6.036045,"mewtwo, mew, exeggutor, starmie, poliwrath, muk"
"151, 145, 131, 121, 59, 89",8.75,8.72,5.38,5.35,8.66,6.036014,"mew, zapdos, lapras, starmie, arcanine, muk"
"151, 121, 143, 149, 89, 91",8.75,8.72,5.65,4.94,8.54,6.035845,"mew, starmie, snorlax, dragonite, muk, cloyster"
"150, 151, 121, 62, 89, 91",8.75,5.39,5.94,5.03,8.48,6.035595,"mewtwo, mew, starmie, poliwrath, muk, cloyster"
"151, 145, 121, 59, 89, 91",8.75,8.72,5.38,5.35,8.64,6.034662,"mew, zapdos, starmie, arcanine, muk, cloyster"
"151, 145, 131, 121, 143, 89",8.75,8.72,5.7,4.85,8.55,6.034486,"mew, zapdos, lapras, starmie, snorlax, muk"
"150, 151, 121, 62, 89, 80",8.75,3.72,6.13,5.03,8.39,6.034321,"mewtwo, mew, starmie, poliwrath, muk, slowbro"
"150, 151, 9, 121, 143, 89",8.75,4.79,6.34,4.44,8.55,6.034013,"mewtwo, mew, blastoise, starmie, snorlax, muk"
"150, 151, 6, 59, 89, 76",8.75,7.25,4.81,6.53,8.68,6.033869,"mewtwo, mew, charizard, arcanine, muk, golem"
"151, 145, 121, 143, 89, 91",8.75,8.72,5.7,4.85,8.54,6.033134,"mew, zapdos, starmie, snorlax, muk, cloyster"
"150, 151, 131, 121, 89, 80",8.75,3.72,6.1,5.03,8.5,6.03134,"mewtwo, mew, lapras, starmie, muk, slowbro"
"150, 151, 144, 131, 59, 89",8.75,7.88,5.41,5.35,8.9,6.030794,"mewtwo, mew, articuno, lapras, arcanine, muk"
"150, 151, 144, 59, 89, 91",8.75,7.88,5.41,5.35,8.9,6.030794,"mewtwo, mew, articuno, arcanine, muk, cloyster"
"150, 151, 131, 3, 149, 89",8.75,8.72,5.22,5.53,8.88,6.030106,"mewtwo, mew, lapras, venusaur, dragonite, muk"
"150, 151, 134, 121, 143, 89",8.75,4.79,6.34,4.44,8.51,6.029732,"mewtwo, mew, vaporeon, starmie, snorlax, muk"
"150, 151, 144, 9, 89, 80",8.75,6,5.92,4.85,8.78,6.02909,"mewtwo, mew, articuno, blastoise, muk, slowbro"
"150, 151, 145, 9, 89, 80",8.75,6,5.92,4.85,8.78,6.02909,"mewtwo, mew, zapdos, blastoise, muk, slowbro"
"150, 151, 144, 131, 143, 89",8.75,7.88,5.72,4.85,8.79,6.028839,"mewtwo, mew, articuno, lapras, snorlax, muk"
"150, 151, 144, 143, 89, 91",8.75,7.88,5.72,4.85,8.79,6.028839,"mewtwo, mew, articuno, snorlax, muk, cloyster"
"150, 151, 3, 149, 89, 91",8.75,8.72,5.22,5.53,8.86,6.028754,"mewtwo, mew, venusaur, dragonite, muk, cloyster"
"150, 151, 131, 6, 134, 89",8.75,7.25,5.48,5.44,8.56,6.027944,"mewtwo, mew, lapras, charizard, vaporeon, muk"
"150, 151, 131, 6, 9, 89",8.75,7.25,5.48,5.44,8.56,6.027944,"mewtwo, mew, lapras, charizard, blastoise, muk"
"150, 151, 6, 9, 89, 91",8.75,7.25,5.48,5.44,8.56,6.027944,"mewtwo, mew, charizard, blastoise, muk, cloyster"
"150, 151, 131, 6, 103, 89",8.75,8.72,5.33,5.44,8.56,6.02783,"mewtwo, mew, lapras, charizard, exeggutor, muk"
"150, 151, 144, 113, 89, 112",8.75,9.12,5.63,4.85,8.62,6.027696,"mewtwo, mew, articuno, chansey, muk, rhydon"
"150, 151, 145, 113, 89, 112",8.75,9.12,5.63,4.85,8.62,6.027696,"mewtwo, mew, zapdos, chansey, muk, rhydon"
"150, 144, 146, 9, 89, 76",8.75,9.83,4.47,6.62,8.78,6.027559,"mewtwo, articuno, moltres, blastoise, muk, golem"
"150, 145, 146, 9, 89, 76",8.75,9.83,4.47,6.62,8.78,6.027559,"mewtwo, zapdos, moltres, blastoise, muk, golem"
"150, 151, 103, 121, 143, 89",8.75,6,6.21,4.44,8.54,6.02692,"mewtwo, mew, exeggutor, starmie, snorlax, muk"
"150, 151, 131, 103, 121, 89",8.75,5.39,5.92,5.03,8.53,6.026464,"mewtwo, mew, lapras, exeggutor, starmie, muk"
"150, 151, 146, 131, 143, 89",8.75,9.12,5.59,4.85,8.79,6.02591,"mewtwo, mew, moltres, lapras, snorlax, muk"
"150, 151, 146, 143, 89, 91",8.75,9.12,5.59,4.85,8.79,6.02591,"mewtwo, mew, moltres, snorlax, muk, cloyster"
"150, 151, 144, 131, 134, 89",8.75,6,5.55,5.44,8.78,6.024822,"mewtwo, mew, articuno, lapras, vaporeon, muk"
"150, 151, 113, 121, 149, 80",8.75,5.39,6.03,4.73,8.83,6.023257,"mewtwo, mew, chansey, starmie, dragonite, slowbro"
"150, 151, 9, 149, 89, 112",8.75,9.12,5.52,4.94,8.88,6.022212,"mewtwo, mew, blastoise, dragonite, muk, rhydon"
"150, 151, 9, 149, 89, 76",8.75,9.12,5.52,4.94,8.88,6.022212,"mewtwo, mew, blastoise, dragonite, muk, golem"
"150, 151, 6, 62, 89, 80",8.75,7.06,5.51,5.44,8.45,6.022165,"mewtwo, mew, charizard, poliwrath, muk, slowbro"
"150, 151, 144, 131, 89, 80",8.75,5.94,5.55,5.44,8.78,6.022044,"mewtwo, mew, articuno, lapras, muk, slowbro"
"150, 151, 145, 131, 3, 89",8.75,8.72,5.27,5.44,8.78,6.019009,"mewtwo, mew, zapdos, lapras, venusaur, muk"
"150, 151, 131, 113, 121, 149",8.75,7.06,5.84,4.73,8.88,6.018504,"mewtwo, mew, lapras, chansey, starmie, dragonite"
"150, 151, 131, 6, 89, 80",8.75,7.06,5.48,5.44,8.56,6.018222,"mewtwo, mew, lapras, charizard, muk, slowbro"
"150, 151, 121, 143, 89, 112",8.75,7.88,6.01,4.44,8.51,6.017709,"mewtwo, mew, starmie, snorlax, muk, rhydon"
"150, 151, 121, 143, 89, 76",8.75,7.88,6.01,4.44,8.51,6.017709,"mewtwo, mew, starmie, snorlax, muk, golem"
"150, 151, 145, 3, 89, 91",8.75,8.72,5.27,5.44,8.77,6.017657,"mewtwo, mew, zapdos, venusaur, muk, cloyster"
"150, 151, 113, 121, 149, 91",8.75,7.06,5.84,4.73,8.86,6.017152,"mewtwo, mew, chansey, starmie, dragonite, cloyster"
"150, 151, 113, 121, 149, 76",8.75,8.72,5.68,4.73,8.83,6.017127,"mewtwo, mew, chansey, starmie, dragonite, golem"
"151, 146, 113, 121, 143, 89",8.75,7.88,5.76,4.85,8.51,6.015811,"mew, moltres, chansey, starmie, snorlax, muk"
"150, 144, 131, 113, 59, 89",8.75,9.75,5.38,5.12,8.66,6.015162,"mewtwo, articuno, lapras, chansey, arcanine, muk"
"150, 151, 121, 143, 62, 89",8.75,6,6.19,4.44,8.51,6.014951,"mewtwo, mew, starmie, snorlax, poliwrath, muk"
"151, 121, 143, 149, 89, 112",8.75,10,5.49,4.94,8.51,6.014714,"mew, starmie, snorlax, dragonite, muk, rhydon"
"151, 121, 143, 149, 89, 76",8.75,10,5.49,4.94,8.51,6.014714,"mew, starmie, snorlax, dragonite, muk, golem"
"150, 144, 113, 59, 89, 91",8.75,9.75,5.38,5.12,8.64,6.01381,"mewtwo, articuno, chansey, arcanine, muk, cloyster"
"151, 121, 59, 149, 89, 112",8.75,10,5.16,5.44,8.61,6.0127,"mew, starmie, arcanine, dragonite, muk, rhydon"
"151, 121, 59, 149, 89, 76",8.75,10,5.16,5.44,8.61,6.0127,"mew, starmie, arcanine, dragonite, muk, golem"
"150, 151, 146, 131, 62, 89",8.75,8.17,5.31,5.44,8.78,6.012678,"mewtwo, mew, moltres, lapras, poliwrath, muk"
"151, 144, 121, 143, 89, 112",8.75,10,5.54,4.85,8.51,6.012419,"mew, articuno, starmie, snorlax, muk, rhydon"
"151, 144, 121, 143, 89, 76",8.75,10,5.54,4.85,8.51,6.012419,"mew, articuno, starmie, snorlax, muk, golem"
"151, 145, 121, 143, 89, 112",8.75,10,5.54,4.85,8.51,6.012419,"mew, zapdos, starmie, snorlax, muk, rhydon"
"151, 145, 121, 143, 89, 76",8.75,10,5.54,4.85,8.51,6.012419,"mew, zapdos, starmie, snorlax, muk, golem"
