pokemon_id,pokemon,roles
754,"Lurantis","Physical Attacker, Support, Setup Sweeper"
755,"Morelull","Support"
756,"Shiinotic","Support"
757,"Salandit","Special Attacker"
758,"Salazzle","Special Attacker, Wallbreaker, Setup Sweeper"
759,"Stufful","Physical Attacker"
760,"Bewear","Physical Attacker, Tank"
761,"Bounsweet","Support"
762,"Steenee","Support"
763,"Tsareena","Physical Attacker, Support"
764,"Comfey","Support, Setup Sweeper"
765,"Oranguru","Support"
766,"Passimian","Physical Attacker"
767,"Wimpod","Support"
768,"Golisopod","Physical Attacker, Support, Physical Wall"
769,"Sandygast","Support"
770,"Palossand","Special Attacker, Tank"
771,"Pyukumuku","Support, Tank"
772,"Type: Null","Physical Attacker, Support"
773,"Silvally","Physical Attacker, Support, Setup Sweeper"
774,"Minior","Special Attacker, Setup Sweeper"
775,"Komala","Physical Attacker, Support"
776,"Turtonator","Special Attacker, Tank, Setup Sweeper"
777,"Togedemaru","Physical Attacker, Support"
778,"Mimikyu","Physical Attacker, Setup Sweeper"
779,"Bruxish","Physical Attacker, Wallbreaker"
780,"Drampa","Special Attacker, Wallbreaker"
781,"Dhelmise","Physical Attacker, Support"
782,"Jangmo-o","Physical Attacker"
783,"Hakamo-o","Physical Attacker"
784,"Kommo-o","Physical Attacker, Setup Sweeper"
785,"Tapu Koko","Special Attacker, Support"
786,"Tapu Lele","Special Attacker, Wallbreaker"
787,"Tapu Bulu","Physical Attacker, Support"
788,"Tapu Fini","Special Attacker, Support"
789,"Cosmog","Setup Fodder"
790,"Cosmoem","Setup Fodder"
791,"Solgaleo","Physical Attacker, Wallbreaker"
792,"Lunala","Special Attacker, Wallbreaker"
793,"Nihilego","Special Attacker, Support"
794,"Buzzwole","Physical Attacker, Tank, Setup Sweeper"
795,"Pheromosa","Physical Attacker, Wallbreaker, Setup Sweeper"
796,"Xurkitree","Special Attacker, Wallbreaker, Setup Sweeper"
797,"Celesteela","Special Attacker, Tank"
798,"Kartana","Physical Attacker, Wallbreaker, Setup Sweeper"
799,"Guzzlord","Special Attacker, Tank"
800,"Necrozma","Special Attacker, Support, Setup Sweeper"
801,"Magearna","Special Attacker, Support"
802,"Marshadow","Physical Attacker, Wallbreaker, Setup Sweeper"
803,"Poipole","Special Attacker"
804,"Naganadel","Special Attacker, Wallbreaker, Setup Sweeper"
805,"Stakataka","Physical Attacker, Tank"
806,"Blacephalon","Special Attacker, Wallbreaker, Setup Sweeper"
807,"Zeraora","Physical Attacker, Wallbreaker, Setup Sweeper"
808,"Meltan","Support"
809,"Melmetal","Physical Attacker, Tank"
810,"Grookey","Physical Attacker"
811,"Thwackey","Physical Attacker"
812,"Rillaboom","Physical Attacker, Support, Setup Sweeper"
813,"Scorbunny","Physical Attacker"
814,"Raboot","Physical Attacker"
815,"Cinderace","Physical Attacker, Setup Sweeper"
816,"Sobble","Special Attacker"
817,"Drizzile","Special Attacker"
818,"Inteleon","Special Attacker, Wallbreaker"
819,"Skwovet","Support"
820,"Greedent","Tank"
821,"Rookidee","Support"
822,"Corvisquire","Physical Attacker"
823,"Corviknight","Physical Attacker, Support"
824,"Blipbug","Setup Fodder"
825,"Dottler","Support"
826,"Orbeetle","Special Attacker, Support"
827,"Nickit","Support"
828,"Thievul","Special Attacker"
829,"Gossifleur","Support"
830,"Eldegoss","Support"
831,"Wooloo","Support"
832,"Dubwool","Tank, Support"
833,"Chewtle","Physical Attacker"
834,"Drednaw","Physical Attacker, Wallbreaker, Setup Sweeper"
835,"Yamper","Support"
836,"Boltund","Physical Attacker"
837,"Rolycoly","Support"
838,"Carkol","Support"
839,"Coalossal","Support, Tank, Physical Wall"
840,"Applin","Support"
841,"Flapple","Physical Attacker, Wallbreaker, Setup Sweeper"
842,"Appletun","Special Attacker, Tank"
843,"Silicobra","Support"
844,"Sandaconda","Tank, Support, Physical Wall"
845,"Cramorant","Special Attacker, Support"
846,"Arrokuda","Physical Attacker"
847,"Barraskewda","Physical Attacker, Wallbreaker, Setup Sweeper"
848,"Toxel","Special Attacker"
849,"Toxtricity","Special Attacker, Wallbreaker"
850,"Sizzlipede","Support"
851,"Centiskorch","Physical Attacker, Wallbreaker"
852,"Clobbopus","Physical Attacker"
853,"Grapploct","Physical Attacker, Wallbreaker"
854,"Sinistea","Special Attacker"
855,"Polteageist","Special Attacker, Setup Sweeper"
856,"Hatenna","Special Attacker"
857,"Hattrem","Special Attacker"
858,"Hatterene","Special Attacker, Support, Setup Sweeper"
859,"Impidimp","Support"
860,"Morgrem","Support"
861,"Grimmsnarl","Physical Attacker, Support, Setup Sweeper"
862,"Obstagoon","Physical Attacker, Wallbreaker"
863,"Perrserker","Physical Attacker"
864,"Cursola","Special Attacker, Tank"
865,"Sirfetch’d","Physical Attacker, Wallbreaker"
866,"Mr. Rime","Special Attacker, Support"
867,"Runerigus","Support, Tank"
868,"Milcery","Support"
869,"Alcremie","Special Attacker, Support, Setup Sweeper"
870,"Falinks","Physical Attacker, Setup Sweeper"
871,"Pincurchin","Support"
872,"Snom","Support"
873,"Frosmoth","Special Attacker, Setup Sweeper"
874,"Stonjourner","Physical Attacker, Wallbreaker"
875,"Eiscue","Physical Attacker, Tank, Setup Sweeper"
876,"Indeedee","Special Attacker, Support"
877,"Morpeko","Physical Attacker, Support"
878,"Cufant","Physical Attacker"
879,"Copperajah","Physical Attacker, Wallbreaker"
880,"Dracozolt","Physical Attacker, Wallbreaker"
881,"Arctozolt","Special Attacker, Wallbreaker"
882,"Dracovish","Physical Attacker, Wallbreaker"
883,"Arctovish","Special Attacker, Tank"
884,"Duraludon","Special Attacker, Support"
885,"Dreepy","Setup Fodder"
886,"Drakloak","Physical Attacker"
887,"Dragapult","Physical Attacker, Special Attacker, Setup Sweeper"
888,"Zacian","Physical Attacker, Wallbreaker, Setup Sweeper"
889,"Zamazenta","Physical Attacker, Tank"
890,"Eternatus","Special Attacker, Wallbreaker"
891,"Kubfu","Physical Attacker"
892,"Urshifu","Physical Attacker, Wallbreaker, Setup Sweeper"
893,"Zarude","Physical Attacker, Support"
894,"Regieleki","Special Attacker, Support"
895,"Regidrago","Physical Attacker, Wallbreaker"
896,"Glastrier","Physical Attacker, Tank"
897,"Spectrier","Special Attacker, Wallbreaker"
898,"Calyrex","Special Attacker, Support, Setup Sweeper"
906,"Sprigatito","Physical Attacker"
907,"Floragato","Physical Attacker"
908,"Meowscarada","Physical Attacker, Support, Setup Sweeper"
909,"Fuecoco","Special Attacker"
910,"Crocalor","Special Attacker"
911,"Skeledirge","Special Attacker, Tank"
912,"Quaxly","Physical Attacker"
913,"Quaxwell","Physical Attacker"
914,"Quaquaval","Physical Attacker, Setup Sweeper"
915,"Lechonk","Support"
916,"Oinkologne","Tank, Support"
917,"Tarountula","Support"
918,"Spidops","Support"
919,"Nymble","Physical Attacker"
920,"Lokix","Physical Attacker, Setup Sweeper"
921,"Pawmi","Physical Attacker"
922,"Pawmo","Physical Attacker"
923,"Pawmot","Physical Attacker, Support"
924,"Tandemaus","Support"
925,"Maushold","Physical Attacker, Support, Setup Sweeper"
926,"Fidough","Support"
927,"Dachsbun","Support"
928,"Smoliv","Support"
929,"Dolliv","Support"
930,"Arboliva","Special Attacker, Support"
931,"Squawkabilly","Physical Attacker"
932,"Nacli","Tank"
933,"Naclstack","Tank"
934,"Garganacl","Tank, Support"
935,"Charcadet","Physical Attacker"
936,"Armarouge","Special Attacker, Wallbreaker"
937,"Ceruledge","Physical Attacker, Wallbreaker, Setup Sweeper"
938,"Tadbulb","Support"
939,"Bellibolt","Special Attacker, Tank"
940,"Wattrel","Special Attacker"
941,"Kilowattrel","Special Attacker, Support"
942,"Maschiff","Physical Attacker"
943,"Mabosstiff","Physical Attacker, Support"
944,"Shroodle","Support"
945,"Grafaiai","Special Attacker, Support"
946,"Bramblin","Physical Attacker"
947,"Brambleghast","Physical Attacker, Support"
948,"Toedscool","Support"
949,"Toedscruel","Support, Special Attacker"
950,"Klawf","Physical Attacker, Wallbreaker, Setup Sweeper"
951,"Capsakid","Support"
952,"Scovillain","Special Attacker, Wallbreaker"
953,"Rellor","Support"
954,"Rabsca","Support, Special Attacker"
955,"Flittle","Special Attacker"
956,"Espathra","Special Attacker, Setup Sweeper"
957,"Tinkatink","Support"
958,"Tinkatuff","Support"
959,"Tinkaton","Physical Attacker, Support"
960,"Wiglett","Support"
961,"Wugtrio","Physical Attacker"
962,"Bombirdier","Physical Attacker, Support"
963,"Finizen","Support"
964,"Palafin","Physical Attacker, Wallbreaker, Setup Sweeper"
965,"Varoom","Physical Attacker"
966,"Revavroom","Physical Attacker, Support, Setup Sweeper"
967,"Cyclizar","Physical Attacker, Support, Setup Sweeper"
968,"Orthworm","Tank, Support"
969,"Glimmet","Special Attacker"
970,"Glimmora","Special Attacker, Support"
971,"Greavard","Physical Attacker, Support"
972,"Houndstone","Physical Attacker, Setup Sweeper"
973,"Flamigo","Physical Attacker, Wallbreaker, Setup Sweeper"
974,"Cetoddle","Support"
975,"Cetitan","Physical Attacker, Tank"
976,"Veluza","Physical Attacker, Wallbreaker, Setup Sweeper"
977,"Dondozo","Tank, Support"
978,"Tatsugiri","Special Attacker, Support"
979,"Annihilape","Physical Attacker, Wallbreaker, Setup Sweeper"
980,"Clodsire","Tank, Support"
981,"Farigiraf","Special Attacker, Support"
982,"Dudunsparce","Physical Attacker, Tank"
983,"Kingambit","Physical Attacker, Wallbreaker, Setup Sweeper"
984,"Great Tusk","Physical Attacker, Tank"
985,"Scream Tail","Support"
986,"Brute Bonnet","Physical Attacker, Support"
987,"Flutter Mane","Special Attacker, Wallbreaker, Setup Sweeper"
988,"Slither Wing","Physical Attacker, Wallbreaker"
989,"Sandy Shocks","Special Attacker, Wallbreaker"
990,"Iron Treads","Physical Attacker, Tank"
991,"Iron Bundle","Special Attacker, Wallbreaker, Setup Sweeper"
992,"Iron Hands","Physical Attacker, Tank"
993,"Iron Jugulis","Special Attacker, Support"
994,"Iron Moth","Special Attacker, Wallbreaker"
995,"Iron Thorns","Physical Attacker, Wallbreaker"
996,"Frigibax","Physical Attacker"
997,"Arctibax","Physical Attacker"
998,"Baxcalibur","Physical Attacker, Wallbreaker, Setup Sweeper"
999,"Gimmighoul","Support"
1000,"Gholdengo","Special Attacker, Wallbreaker"
1001,"Wo-Chien","Tank, Support"
1002,"Chien-Pao","Physical Attacker, Wallbreaker, Setup Sweeper"
1003,"Ting-Lu","Tank, Support"
1004,"Chi-Yu","Special Attacker, Wallbreaker, Setup Sweeper"
1005,"Roaring Moon","Physical Attacker, Wallbreaker, Setup Sweeper"
1006,"Iron Valiant","Physical Attacker, Special Attacker, Setup Sweeper"
1007,"Koraidon","Physical Attacker, Wallbreaker, Setup Sweeper"
1008,"Miraidon","Special Attacker, Wallbreaker, Setup Sweeper"
1009,"Walking Wake","Special Attacker, Wallbreaker"
1010,"Iron Leaves","Physical Attacker, Wallbreaker, Setup Sweeper"
